Mods;Mody
Notifications;Powiadomienia
Notification;Powiadomienie
Mod;mod
Build;Zbudować
Version;Wersja
ii's Stupid Menu;Głupie menu ii
Stupid;Głupi
wherever your hand desires;gdziekolwiek zapragnie Twoja ręka
whoever your hand desires;kogokolwiek zapragnie twoja ręka
whatever your hand desires;czegokolwiek zapragnie Twoja ręka
Platforms;Platformy
Platform;Platforma
Fly;Latać
Trigger;Spust
Noclip;Noclip
Ghost;Duch
Invisible;Niewidzialny
Change;Zmiana
Menu;Menu
Settings;Ustawienia
Join;Dołączyć
Room;Pokój
Disable;Wyłączyć
Enable;Włączać
Gun;Pistolet
Joystick;Drążek sterowy
Hand;Ręka
Left;Lewy
Right;Prawidłowy
Forward;Do przodu
Backward;Wstecz
Man;Człowiek
Auto;Automatyczny
Anti;Anty
Gravity;Powaga
Disconnect;Odłączyć
Exit;Wyjście
Sound;Dźwięk
Grab;Złapać
Teleport;Teleportować
Get;Dostawać
into;do
Connect;Łączyć
Name;Nazwa
Color;Kolor
Random;Losowy
Spaz;Spaz
Seuzure;Seuzur
Speed;Prędkość
Velocity;Prędkość
Boost;Zwiększyć
Range;Zakres
Arm;Ramię
Long;Długi
Tall;Wysoki
Accept;Przyjąć
Snowball;Śnieżna kula
Flip;Trzepnięcie
Fling;Rzucać
Notify;Notyfikować
Desires;Pragnienia
Hunt;Polowanie
Infection;Zakażenie
Short;Krótki
Tag;Etykietka
Favorite;Ulubiony
Important;Ważny
Very;Bardzo
Slow;Powolny
Fast;Szybko
Last;Ostatni
Public;Publiczny
Create;Tworzyć
Cancel;Anulować
Welcome;Powitanie
Reconnect;Na nowo połączyć
Invites;Zaprasza
Invite;Zapraszać
You;Ty
Safety;Bezpieczeństwo
Movement;Ruch
Advantage;Korzyść
Visual;Wizualny
Fun;Zabawa
Spam;Spam
Rapid;Szybki
Master;Gospodarz
Overpowered;Zmożony
Admin;Administrator
Theme;Temat
Both;Obydwa
Zero;Zero
One;Jeden
Two;Dwa
Three;Trzy
Four;Cztery
Five;Pięć
Six;Sześć
Seven;Siedem
Eight;Osiem
Nine;Dziewięć
Ten;Dziesięć
Watch;Oglądać
Language;Język
Rig;Takielunek
Player;Odtwarzacz
Freeze;Zamrażać
Scale;Skala
Voice;Głos
Open;Otwarte
Return;Powrót
Back;Z powrotem
The;The
For;Dla
Projectile;Pocisk
Control;Kontrola
Slide;Slajd
Slip;Poślizg
Slippery;Śliski
Weak;Słaby
Strong;Mocny
Controller;Kontroler
Jump;Skok
Hop;Chmiel
Bunny;Królik
Grip;Chwyt
Trigger;Spust
Water;Woda
Swim;Pływać
Position;Pozycja
Rotation;Obrót
All;Wszystko
Self;Ja
Others;Inni
Party;Impreza
Ban;Zakaz
Kick;Rzut
Crash;Rozbić się
Lag;Opóźnienie
Wall;Ściana
Walk;Chodzić
Splash;Pluśnięcie
Aura;Aura
Network;Sieć
Vibrate;Wibrować
Up;W górę
Down;W dół
Uncap;Odkryć
Always;Zawsze
Toggle;Dźwignia kolankowa
Success;Sukces
Reach;Zasięg
Swap;Zamieniać
Colors;Zabarwienie
Strafe;Ostrzelać
Strobe;Stroboskop
Tap;Uzyskiwać
Silent;Cichy
Loud;Głośny
Have;Mieć
Been;Został
Fake;Podróbka
Yes;Tak
Holdable;Trzymalny
Stick;Stick
Sticky;Lepki
Spin;Kręcić się
Helicopter;Śmigłowiec
Rope;Lina
Look;Patrzeć
Head;Głowa
Glider;Szybowiec
Gliders;Szybowce
Balloon;Balon
Ball;Piłka
Soundboard;Płyta rezonansowa
Lightning;Błyskawica
Rain;Deszcz
Weather;Pogoda
Day;Dzień
Night;Noc
Morning;Poranek
Evening;Wieczór
Time;Czas
Report;Raport
Thanks;Dzięki
Using;Używanie
This;Ten
Was;Był
Created;Stworzony
WASD;WASD
Are;Czy
Completely;Całkowicie
Free;Bezpłatny
Scammed;Oszukany
Any;Każdy
Responsible;Odpowiedzialny
Responsibility;Odpowiedzialność
While;Chwila
Sourced;Pochodzenie
What;Co
Who;Kto
Where;Gdzie
How;Jak
Queue;Kolejka
Connected;Połączony
Slingshot;Proca
Iron Man;Iron Man
Spider Man;Człowiek Pająk
Grappling Hooks;Haki do chwytania
Drive;Prowadzić
Size;Rozmiar
Run;Uruchomić
Pinch;Szczypta
Climb;Wspinać się
Low;Niski
High;Wysoki
Airstrike;Nalot
Air;Powietrze
C4;C4
Punch Mod;Mod dziurkowania
Telekinesis;Telekinezja
Solid;Solidny
Max;Maks
Maximum;Maksymalny
Throw;Rzucić
Ground;Grunt
Helper;Pomocnik
Fan;Wentylator
Bee;Pszczoła
Copy;Kopia
Follow;Podążać
Orbit;Orbita
Annoy;Drażnić
Intercourse;Stosunek płciowy
Animation;Ożywienie
Animations;Animacje
Custom;Zwyczaj
Outline;Zarys
Wrist;Nadgarstek
Shiny;Błyszczący
Thick;Gruby
Type;Typ
Style;Styl
Background;Tło
Small;Mały
Pointer;Wskaźnik
Line;Linia
Direction;Kierunek
Button;Przycisk
Buttons;Pikolak
Serversided;Serwerowe
Vibration;Wibracja
Search;Szukaj
And;I
I,;I,
Not;Nie
It's;Jego
Its;Jego
If;Jeśli
To;Do
At;Na
Of;Z
By;Przez
Am;Jestem
On;NA
I;I
