Mods;Modificações
Notifications;Notificações
Notification;Notificação
Mod;Modo
Build;Construir
Version;Versão
ii's Stupid Menu;Menu Estúpido do ii
Stupid;Estúpido
wherever your hand desires;onde sua mão desejar
whoever your hand desires;quem sua mão desejar
whatever your hand desires;o que sua mão desejar
Platforms;Plataformas
Platform;Plataforma
Fly;Voar
Trigger;Acionar
Noclip;Noclip
Ghost;Fantasma
Invisible;Invisível
Change;Mudar
Menu;Menu
Settings;Configurações
Join;Juntar
Room;Sala
Disable;Desativar
Enable;Habilitar
Gun;Pistola
Joystick;Manche
Hand;Mão
Left;Esquerda
Right;Certo
Forward;Avançar
Backward;Para trás
Man;Homem
Auto;Auto
Anti;Anti
Gravity;Gravidade
Disconnect;Desconectar
Exit;Saída
Sound;Som
Grab;Pegar
Teleport;Teleporte
Get;Pegar
into;em
Connect;Conectar
Name;Nome
Color;Cor
Random;Aleatório
Spaz;Spaz
Seuzure;Seuzure
Speed;Velocidade
Velocity;Velocidade
Boost;Impulsionar
Range;Faixa
Arm;Braço
Long;Longo
Tall;Alto
Accept;Aceitar
Snowball;Bola de neve
Flip;Virar
Fling;Arremesso
Notify;Notificar
Desires;Desejos
Hunt;Caçar
Infection;Infecção
Short;Curto
Tag;Marcação
Favorite;Favorito
Important;Importante
Very;Muito
Slow;Lento
Fast;Rápido
Last;Durar
Public;Público
Create;Criar
Cancel;Cancelar
Welcome;Bem-vindo
Reconnect;Reconectar
Invites;Convites
Invite;Convidar
You;Você
Safety;Segurança
Movement;Movimento
Advantage;Vantagem
Visual;Visual
Fun;Diversão
Spam;Spam
Rapid;Rápido
Master;Mestre
Overpowered;Dominado
Admin;Administrador
Theme;Tema
Both;Ambos
Zero;Zero
One;Um
Two;Dois
Three;Três
Four;Quatro
Five;Cinco
Six;Seis
Seven;Sete
Eight;Oito
Nine;Nove
Ten;Dez
Watch;Assistir
Language;Linguagem
Rig;Plataforma
Player;Jogador
Freeze;Congelar
Scale;Escala
Voice;Voz
Open;Abrir
Return;Retornar
Back;Voltar
The;O
For;Para
Projectile;Projétil
Control;Controlar
Slide;Deslizar
Slip;Escorregar
Slippery;Escorregadio
Weak;Fraco
Strong;Forte
Controller;Controlador
Jump;Pular
Hop;Saltar
Bunny;Coelhinho
Grip;Pegada
Trigger;Acionar
Water;Água
Swim;Nadar
Position;Posição
Rotation;Rotação
All;Todos
Self;Auto
Others;Outros
Party;Festa
Ban;Proibir
Kick;Chute
Crash;Colidir
Lag;Atraso
Wall;Parede
Walk;Andar
Splash;Respingo
Aura;Aura
Network;Rede
Vibrate;Vibrar
Up;Acima
Down;Abaixo
Uncap;Destacar
Always;Sempre
Toggle;Alternar
Success;Sucesso
Reach;Alcançar
Swap;Trocar
Colors;Cores
Strafe;Metralhar
Strobe;Estroboscópio
Tap;Tocar
Silent;Silencioso
Loud;Alto
Have;Ter
Been;Estive
Fake;Falso
Yes;Sim
Holdable;Segurável
Stick;Grudar
Sticky;Pegajoso
Spin;Rodar
Helicopter;Helicóptero
Rope;Corda
Look;Olhar
Head;Cabeça
Glider;Planador
Gliders;Planadores
Balloon;Balão
Ball;Bola
Soundboard;Mesa de som
Lightning;Raio
Rain;Chuva
Weather;Clima
Day;Dia
Night;Noite
Morning;Manhã
Evening;Noite
Time;Tempo
Report;Relatório
Thanks;Obrigado
Using;Usando
This;Esse
Was;Era
Created;Criado
WASD;WASD
Are;São
Completely;Completamente
Free;Livre
Scammed;Enganado
Any;Qualquer
Responsible;Responsável
Responsibility;Responsabilidade
While;Enquanto
Sourced;Origem
What;O que
Who;Quem
Where;Onde
How;Como
Queue;Fila
Connected;Conectado
Slingshot;Estilingue
Iron Man;Homem de Ferro
Spider Man;Homem Aranha
Grappling Hooks;Ganchos de luta
Drive;Dirigir
Size;Tamanho
Run;Correr
Pinch;Pitada
Climb;Escalar
Low;Baixo
High;Alto
Airstrike;Ataque aéreo
Air;Ar
C4;C4
Punch Mod;Mod de soco
Telekinesis;Telecinese
Solid;Sólido
Max;Máx.
Maximum;Máximo
Throw;Lançar
Ground;Chão
Helper;Ajudante
Fan;Fã
Bee;Abelha
Copy;Cópia
Follow;Seguir
Orbit;Órbita
Annoy;Irritar
Intercourse;Relações sexuais
Animation;Animação
Animations;Animações
Custom;Personalizado
Outline;Contorno
Wrist;Pulso
Shiny;Brilhante
Thick;Espesso
Type;Tipo
Style;Estilo
Background;Fundo
Small;Pequeno
Pointer;Ponteiro
Line;Linha
Direction;Direção
Button;Botão
Buttons;Botões
Serversided;Do lado do servidor
Vibration;Vibração
Search;Procurar
And;E
I,;EU,
Not;Não
It's;Isso é
Its;Isso é
If;Se
To;Para
At;No
Of;De
By;Por
Am;Sou
On;Sobre
I;EU
