Mods;Моды
Notifications;Уведомления
Notification;Уведомление
Mod;Мод
Build;Строить
Version;Версия
ii's Stupid Menu;Глупое меню ii
Stupid;Глупый
wherever your hand desires;куда пожелает твоя рука
whoever your hand desires;кого пожелает твоя рука
whatever your hand desires;все, что пожелает твоя рука
Platforms;Платформы
Platform;Платформа
Fly;Летать
Trigger;Курок
Noclip;Ноклип
Ghost;Призрак
Invisible;Невидимый
Change;Изменять
Menu;Меню
Settings;Настройки
Join;Присоединиться
Room;Комната
Disable;Запрещать
Enable;Давать возможность
Gun;Пистолет
Joystick;Джойстик
Hand;Рука
Left;Левый
Right;Верно
Forward;Вперед
Backward;Назад
Man;Мужчина
Auto;Авто
Anti;Анти
Gravity;Гравитация
Disconnect;Отключить
Exit;Выход
Sound;Звук
Grab;Схватить
Teleport;Телепортироваться
Get;Получать
into;в
Connect;Соединять
Name;Имя
Color;Цвет
Random;Случайный
Spaz;Спаз
Seuzure;арест
Speed;Скорость
Velocity;Скорость
Boost;Способствовать росту
Range;Диапазон
Arm;Рука
Long;Длинный
Tall;Высокий
Accept;Принимать
Snowball;Снежок
Flip;Подбросить
Fling;Бросок
Notify;Уведомить
Desires;Желания
Hunt;Охота
Infection;Инфекция
Short;Короткий
Tag;Ярлык
Favorite;Любимый
Important;Важный
Very;Очень
Slow;Медленный
Fast;Быстрый
Last;Последний
Public;Общественный
Create;Создавать
Cancel;Отмена
Welcome;Добро пожаловать
Reconnect;Восстановить соединение
Invites;Приглашает
Invite;Приглашать
You;Ты
Safety;Безопасность
Movement;Движение
Advantage;Преимущество
Visual;Визуальный
Fun;Веселье
Spam;Спам
Rapid;Стремительный
Master;Владелец
Overpowered;Сильный
Admin;Админ
Theme;Тема
Both;Оба
Zero;Ноль
One;Один
Two;Два
Three;Три
Four;Четыре
Five;Пять
Six;Шесть
Seven;Семь
Eight;Восемь
Nine;Девять
Ten;Десять
Watch;Смотреть
Language;Язык
Rig;установка
Player;Игрок
Freeze;Заморозить
Scale;Шкала
Voice;Голос
Open;Открыть
Return;Возвращаться
Back;Назад
The;
For;Для
Projectile;Снаряд
Control;Контроль
Slide;Слайд
Slip;Соскальзывать
Slippery;Скользкий
Weak;Слабый
Strong;Сильный
Controller;Контроллер
Jump;Прыжок
Hop;Прыгать
Bunny;Кролик
Grip;Схватить
Trigger;Курок
Water;Вода
Swim;Плавать
Position;Позиция
Rotation;Вращение
All;Все
Self;Себя
Others;Другие
Party;Вечеринка
Ban;Запретить
Kick;Пинать
Crash;Крушение
Lag;Лаг
Wall;Стена
Walk;Ходить
Splash;Всплеск
Aura;Аура
Network;Сеть
Vibrate;Вибрация
Up;Вверх
Down;Вниз
Uncap;снять крышку
Always;Всегда
Toggle;Переключать
Success;Успех
Reach;Достигать
Swap;Менять
Colors;Цвета
Strafe;Стрейф
Strobe;Стробоскоп
Tap;Кран
Silent;Тихий
Loud;Громкий
Have;Иметь
Been;Был
Fake;Фальшивый
Yes;Да
Holdable;Удерживаемый
Stick;Палка
Sticky;Липкий
Spin;Вращаться
Helicopter;Вертолет
Rope;Веревка
Look;Смотреть
Head;Голова
Glider;Планер
Gliders;Планеры
Balloon;Воздушный шар
Ball;Мяч
Soundboard;дека
Lightning;Молния
Rain;Дождь
Weather;Погода
Day;День
Night;Ночь
Morning;Утро
Evening;Вечер
Time;Время
Report;Отчет
Thanks;Спасибо
Using;С использованием
This;Этот
Was;Был
Created;Созданный
WASD;WASD
Are;Являются
Completely;Полностью
Free;Бесплатно
Scammed;Мошенничество
Any;Любой
Responsible;Ответственный
Responsibility;Ответственность
While;Пока
Sourced;Источник
What;Что
Who;ВОЗ
Where;Где
How;Как
Queue;Очередь
Connected;Подключено
Slingshot;Рогатка
Iron Man;Железный Человек
Spider Man;Человек-Паук
Grappling Hooks;Абордажные крюки
Drive;Водить машину
Size;Размер
Run;Бегать
Pinch;Ущипнуть
Climb;Взбираться
Low;Низкий
High;Высокий
Airstrike;Авиаудар
Air;Воздух
C4;С4
Punch Mod;Удар Мод
Telekinesis;Телекинез
Solid;Твердый
Max;Макс
Maximum;Максимум
Throw;Бросать
Ground;Земля
Helper;Помощник
Fan;Вентилятор
Bee;Пчела
Copy;Копировать
Follow;Следовать
Orbit;Орбита
Annoy;Раздражать
Intercourse;половой акт
Animation;Анимация
Animations;Анимации
Custom;Обычай
Outline;Контур
Wrist;Запястье
Shiny;блестящий
Thick;Толстый
Type;Тип
Style;Стиль
Background;Фон
Small;Маленький
Pointer;Указатель
Line;Линия
Direction;Направление
Button;Кнопка
Buttons;Кнопки
Serversided;Серверная сторона
Vibration;Вибрация
Search;Поиск
And;И
I,;Я,
Not;Нет
It's;Его
Its;Его
If;Если
To;К
At;В
Of;Из
By;К
Am;Являюсь
On;На
I;я
