Mods;Modificaciones
Notifications;Notificaciones
Notification;Notificación
Mod;Modificación
Build;Construir
Version;Versión
ii's Stupid Menu;Menú estúpido de ii
Stupid;Estúpido
wherever your hand desires;donde tu mano desee
whoever your hand desires;quien tu mano desee
whatever your hand desires;lo que tu mano desee
Platforms;Plataformas
Platform;Plataforma
Fly;Volar
Trigger;Desencadenar
Noclip;Sin clip
Ghost;Fantasma
Invisible;Invisible
Change;Cambiar
Menu;Menú
Settings;Ajustes
Join;Unirse
Room;Habitación
Disable;Desactivar
Enable;Permitir
Gun;Pistola
Joystick;Palanca de mando
Hand;Mano
Left;Izquierda
Right;Bien
Forward;Adelante
Backward;Hacia atrás
Man;Hombre
Auto;Auto
Anti;Anti
Gravity;Gravedad
Disconnect;Desconectar
Exit;Salida
Sound;Sonido
Grab;Agarrar
Teleport;Teletransportarse
Get;Conseguir
into;en
Connect;Conectar
Name;Nombre
Color;Color
Random;Aleatorio
Spaz;Spaz
Seuzure;convulsión
Speed;Velocidad
Velocity;Velocidad
Boost;Aumentar
Range;Rango
Arm;Brazo
Long;Largo
Tall;Alto
Accept;Aceptar
Snowball;Bola de nieve
Flip;Voltear
Fling;Arrojar
Notify;Notificar
Desires;deseos
Hunt;Caza
Infection;Infección
Short;Corto
Tag;Etiqueta
Favorite;Favorito
Important;Importante
Very;Muy
Slow;Lento
Fast;Rápido
Last;Último
Public;Público
Create;Crear
Cancel;Cancelar
Welcome;Bienvenido
Reconnect;Reconectar
Invites;invita
Invite;Invitar
You;Tú
Safety;Seguridad
Movement;Movimiento
Advantage;Ventaja
Visual;Visual
Fun;Divertido
Spam;Correo basura
Rapid;Rápido
Master;Maestro
Overpowered;dominado
Admin;Administración
Theme;Tema
Both;Ambos
Zero;Cero
One;Uno
Two;Dos
Three;Tres
Four;cuatro
Five;Cinco
Six;Seis
Seven;Siete
Eight;Ocho
Nine;Nueve
Ten;Diez
Watch;Mirar
Language;Idioma
Rig;Aparejo
Player;Jugador
Freeze;Congelar
Scale;Escala
Voice;Voz
Open;Abierto
Return;Devolver
Back;Atrás
The;El
For;Para
Projectile;Proyectil
Control;Control
Slide;Deslizar
Slip;Deslizar
Slippery;Resbaladizo
Weak;Débil
Strong;Fuerte
Controller;Controlador
Jump;Saltar
Hop;Brincar
Bunny;Conejito
Grip;Agarre
Trigger;Desencadenar
Water;Agua
Swim;Nadar
Position;Posición
Rotation;Rotación
All;Todo
Self;Ser
Others;Otros
Party;Fiesta
Ban;Prohibición
Kick;Patada
Crash;Chocar
Lag;Retraso
Wall;Muro
Walk;Caminar
Splash;Chapoteo
Aura;Aura
Network;Red
Vibrate;Vibrar
Up;Arriba
Down;Abajo
Uncap;Destapar
Always;Siempre
Toggle;Palanca
Success;Éxito
Reach;Alcanzar
Swap;Intercambio
Colors;Bandera
Strafe;Bombardear
Strobe;estroboscópico
Tap;Grifo
Silent;Silencioso
Loud;Alto
Have;Tener
Been;Estado
Fake;Falso
Yes;Sí
Holdable;Sostenible
Stick;Palo
Sticky;Pegajoso
Spin;Girar
Helicopter;Helicóptero
Rope;Soga
Look;Mirar
Head;Cabeza
Glider;Planeador
Gliders;Planeadores
Balloon;Globo
Ball;Pelota
Soundboard;Caja de resonancia
Lightning;Iluminación
Rain;Lluvia
Weather;Clima
Day;Día
Night;Noche
Morning;Mañana
Evening;Noche
Time;Tiempo
Report;Informe
Thanks;Gracias
Using;Usando
This;Este
Was;Era
Created;Creado
WASD;WASD
Are;Son
Completely;Completamente
Free;Gratis
Scammed;Estafado
Any;Cualquier
Responsible;Responsable
Responsibility;Responsabilidad
While;Mientras
Sourced;De origen
What;Qué
Who;OMS
Where;Dónde
How;Cómo
Queue;Cola
Connected;Conectado
Slingshot;Honda
Iron Man;hombre de hierro
Spider Man;hombre araña
Grappling Hooks;Ganchos de agarre
Drive;Conducir
Size;Tamaño
Run;Correr
Pinch;Pellizco
Climb;Trepar
Low;Bajo
High;Alto
Airstrike;Ataque aéreo
Air;Aire
C4;C4
Punch Mod;Mod de golpe
Telekinesis;Telequinesia
Solid;Sólido
Max;máx.
Maximum;Máximo
Throw;Tirar
Ground;Suelo
Helper;Ayudante
Fan;Admirador
Bee;Abeja
Copy;Copiar
Follow;Seguir
Orbit;Órbita
Annoy;Enojarse
Intercourse;Relaciones
Animation;Animación
Animations;animaciones
Custom;Costumbre
Outline;Describir
Wrist;Muñeca
Shiny;Brillante
Thick;Grueso
Type;Tipo
Style;Estilo
Background;Fondo
Small;Pequeño
Pointer;Puntero
Line;Línea
Direction;Dirección
Button;Botón
Buttons;Botones
Serversided;En el servidor
Vibration;Vibración
Search;Buscar
And;Y
I,;I,
Not;No
It's;Es
Its;Es
If;Si
To;A
At;En
Of;De
By;Por
Am;Soy
On;En
I;I
